,image1,image2,label
4355,demo\Data\LFW_Demo\Hermann_Maier_0002.jpg,demo\Data\LFW_Demo\Hosni_Mubarak_0005.jpg,0
3995,demo\Data\LFW_Demo\Saddam_Hussein_0002.jpg,demo\Data\LFW_Demo\Yevgeny_Kafelnikov_0003.jpg,0
2963,demo\Data\LFW_Demo\Vladimir_Putin_0021.jpg,demo\Data\LFW_Demo\Jennifer_Garner_0007.jpg,0
6389,demo\Data\LFW_Demo\Andre_Agassi_0033.jpg,demo\Data\LFW_Demo\Andre_Agassi_0032.jpg,1
624,demo\Data\LFW_Demo\Vladimir_Putin_0019.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0014.jpg,1
69,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0029.jpg,1
889,demo\Data\LFW_Demo\Vladimir_Putin_0024.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0043.jpg,1
3128,demo\Data\LFW_Demo\Vladimir_Putin_0017.jpg,demo\Data\LFW_Demo\Clint_Eastwood_0001.jpg,0
4975,demo\Data\LFW_Demo\Keith_Foulke_0001.jpg,demo\Data\LFW_Demo\Antonio_Trillanes_0002.jpg,0
4228,demo\Data\LFW_Demo\Lim_Dong-won_0002.jpg,demo\Data\LFW_Demo\Dan_Morales_0003.jpg,0
4315,demo\Data\LFW_Demo\Vladimir_Putin_0007.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0017.jpg,1
3820,demo\Data\LFW_Demo\Kara_Lynn_Joyce_0001.jpg,demo\Data\LFW_Demo\Oliver_Neuville_0001.jpg,0
2018,demo\Data\LFW_Demo\Hermann_Maier_0001.jpg,demo\Data\LFW_Demo\Janette_Husarova_0001.jpg,0
947,demo\Data\LFW_Demo\Vladimir_Putin_0042.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0033.jpg,1
877,demo\Data\LFW_Demo\Jonathan_Edwards_0001.jpg,demo\Data\LFW_Demo\Daisy_Fuentes_0001.jpg,0
2847,demo\Data\LFW_Demo\Amelie_Mauresmo_0002.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0008.jpg,1
6136,demo\Data\LFW_Demo\Gordon_Brown_0009.jpg,demo\Data\LFW_Demo\Amer_al-Saadi_0002.jpg,0
293,demo\Data\LFW_Demo\Carlos_Vives_0002.jpg,demo\Data\LFW_Demo\Edwin_Edwards_0001.jpg,0
2803,demo\Data\LFW_Demo\Andre_Agassi_0008.jpg,demo\Data\LFW_Demo\Andre_Agassi_0026.jpg,1
445,demo\Data\LFW_Demo\Romain_Duris_0001.jpg,demo\Data\LFW_Demo\Ariel_Sharon_0028.jpg,0
4958,demo\Data\LFW_Demo\Sarah_Hughes_0002.jpg,demo\Data\LFW_Demo\Sarah_Hughes_0006.jpg,1
3647,demo\Data\LFW_Demo\Andre_Agassi_0027.jpg,demo\Data\LFW_Demo\Alejandro_Toledo_0009.jpg,0
3914,demo\Data\LFW_Demo\Sarah_Hughes_0001.jpg,demo\Data\LFW_Demo\Goldie_Hawn_0007.jpg,0
4362,demo\Data\LFW_Demo\Yao_Ming_0004.jpg,demo\Data\LFW_Demo\Stanley_Tong_0002.jpg,0
3671,demo\Data\LFW_Demo\Barry_Hinson_0001.jpg,demo\Data\LFW_Demo\Urmila_Matondkar_0001.jpg,0
4685,demo\Data\LFW_Demo\Richard_Virenque_0006.jpg,demo\Data\LFW_Demo\Sandy_Wise_0001.jpg,0
4581,demo\Data\LFW_Demo\Andre_Agassi_0021.jpg,demo\Data\LFW_Demo\Andre_Agassi_0013.jpg,1
367,demo\Data\LFW_Demo\Afton_Smith_0001.jpg,demo\Data\LFW_Demo\Roh_Moo-hyun_0004.jpg,0
2954,demo\Data\LFW_Demo\Yao_Ming_0005.jpg,demo\Data\LFW_Demo\John_Howard_0015.jpg,0
5782,demo\Data\LFW_Demo\Guillermo_Coria_0028.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0023.jpg,1
2627,demo\Data\LFW_Demo\Guillermo_Coria_0014.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0013.jpg,1
1512,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0030.jpg,1
6022,demo\Data\LFW_Demo\Andre_Agassi_0022.jpg,demo\Data\LFW_Demo\Andre_Agassi_0024.jpg,1
5352,demo\Data\LFW_Demo\Vladimir_Putin_0045.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0009.jpg,1
1951,demo\Data\LFW_Demo\Prakash_Hinduja_0001.jpg,demo\Data\LFW_Demo\Fernando_Vargas_0004.jpg,0
2836,demo\Data\LFW_Demo\Guillermo_Coria_0002.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0007.jpg,1
1414,demo\Data\LFW_Demo\Guillermo_Coria_0007.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0008.jpg,1
5570,demo\Data\LFW_Demo\Oswald_Gruebel_0001.jpg,demo\Data\LFW_Demo\John_Kerry_0005.jpg,0
4251,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0011.jpg,1
1186,demo\Data\LFW_Demo\Guillermo_Coria_0023.jpg,demo\Data\LFW_Demo\Bill_Gates_0004.jpg,0
2559,demo\Data\LFW_Demo\Guillermo_Coria_0020.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0018.jpg,1
1882,demo\Data\LFW_Demo\Vladimir_Putin_0011.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0049.jpg,1
2985,demo\Data\LFW_Demo\Jeffrey_Immelt_0002.jpg,demo\Data\LFW_Demo\Jefferson_Perez_0001.jpg,0
3794,demo\Data\LFW_Demo\Vladimir_Putin_0002.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0033.jpg,1
4983,demo\Data\LFW_Demo\Vladimir_Putin_0005.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0027.jpg,1
6458,demo\Data\LFW_Demo\Amanda_Marsh_0001.jpg,demo\Data\LFW_Demo\Alexandra_Jackson_0001.jpg,0
151,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,demo\Data\LFW_Demo\Gary_Condit_0001.jpg,0
1650,demo\Data\LFW_Demo\Guillermo_Coria_0029.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0020.jpg,1
1033,demo\Data\LFW_Demo\Vladimir_Putin_0012.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0023.jpg,1
1383,demo\Data\LFW_Demo\Vladimir_Putin_0011.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0003.jpg,1
915,demo\Data\LFW_Demo\Bison_Dele_0001.jpg,demo\Data\LFW_Demo\Robert_Hanssen_0001.jpg,0
1305,demo\Data\LFW_Demo\Tamara_Brooks_0001.jpg,demo\Data\LFW_Demo\Adrien_Brody_0011.jpg,0
1782,demo\Data\LFW_Demo\Guillermo_Coria_0015.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0021.jpg,1
5288,demo\Data\LFW_Demo\Vladimir_Putin_0037.jpg,demo\Data\LFW_Demo\Tom_Osborne_0001.jpg,0
4641,demo\Data\LFW_Demo\Andre_Agassi_0030.jpg,demo\Data\LFW_Demo\Andre_Agassi_0014.jpg,1
509,demo\Data\LFW_Demo\Andre_Agassi_0023.jpg,demo\Data\LFW_Demo\George_W_Bush_0160.jpg,0
3680,demo\Data\LFW_Demo\Vladimir_Putin_0019.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0013.jpg,1
4696,demo\Data\LFW_Demo\Michael_Dell_0001.jpg,demo\Data\LFW_Demo\Jennifer_Aniston_0001.jpg,0
5656,demo\Data\LFW_Demo\Vladimir_Putin_0022.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0003.jpg,1
1912,demo\Data\LFW_Demo\Yao_Ming_0004.jpg,demo\Data\LFW_Demo\Kate_Hudson_0008.jpg,0
748,demo\Data\LFW_Demo\Andre_Agassi_0012.jpg,demo\Data\LFW_Demo\Andre_Agassi_0020.jpg,1
1840,demo\Data\LFW_Demo\Andre_Agassi_0016.jpg,demo\Data\LFW_Demo\Gerhard_Schroeder_0055.jpg,0
1706,demo\Data\LFW_Demo\Horst_Koehler_0001.jpg,demo\Data\LFW_Demo\Mark_Butcher_0001.jpg,0
6405,demo\Data\LFW_Demo\Amelie_Mauresmo_0007.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0016.jpg,1
1310,demo\Data\LFW_Demo\Saddam_Hussein_0004.jpg,demo\Data\LFW_Demo\Michael_Jackson_0008.jpg,0
1921,demo\Data\LFW_Demo\Guillermo_Coria_0025.jpg,demo\Data\LFW_Demo\Jean_Chretien_0029.jpg,0
1643,demo\Data\LFW_Demo\Doug_Duncan_0001.jpg,demo\Data\LFW_Demo\Luis_Sanchez_0001.jpg,0
3123,demo\Data\LFW_Demo\Vladimir_Putin_0049.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0041.jpg,1
2603,demo\Data\LFW_Demo\Hamzah_Haz_0002.jpg,demo\Data\LFW_Demo\Tony_Blair_0015.jpg,0
2202,demo\Data\LFW_Demo\Amelie_Mauresmo_0021.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0001.jpg,1
6377,demo\Data\LFW_Demo\Vladimir_Putin_0016.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0029.jpg,1
2316,demo\Data\LFW_Demo\Vladimir_Putin_0039.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0032.jpg,1
471,demo\Data\LFW_Demo\Vladimir_Putin_0045.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0040.jpg,1
3585,demo\Data\LFW_Demo\Guillermo_Coria_0028.jpg,demo\Data\LFW_Demo\George_W_Bush_0451.jpg,0
3567,demo\Data\LFW_Demo\Guillermo_Coria_0020.jpg,demo\Data\LFW_Demo\Kosuke_Kitajima_0002.jpg,0
4121,demo\Data\LFW_Demo\Vladimir_Putin_0012.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0021.jpg,1
4283,demo\Data\LFW_Demo\Cori_Enghusen_0001.jpg,demo\Data\LFW_Demo\King_Bhumibol_Adulyadej_0001.jpg,0
6208,demo\Data\LFW_Demo\Guillermo_Coria_0006.jpg,demo\Data\LFW_Demo\Hugo_Chavez_0021.jpg,0
5103,demo\Data\LFW_Demo\Kellie_Coffey_0001.jpg,demo\Data\LFW_Demo\Al_Gore_0001.jpg,0
896,demo\Data\LFW_Demo\Andre_Agassi_0006.jpg,demo\Data\LFW_Demo\Andre_Agassi_0035.jpg,1
4965,demo\Data\LFW_Demo\Barrett_Jackman_0002.jpg,demo\Data\LFW_Demo\George_W_Bush_0413.jpg,0
1694,demo\Data\LFW_Demo\Amelie_Mauresmo_0006.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0021.jpg,1
251,demo\Data\LFW_Demo\Michael_Dell_0001.jpg,demo\Data\LFW_Demo\Lleyton_Hewitt_0015.jpg,0
1209,demo\Data\LFW_Demo\Andre_Agassi_0021.jpg,demo\Data\LFW_Demo\Andre_Agassi_0011.jpg,1
2706,demo\Data\LFW_Demo\Paul_Kariya_0001.jpg,demo\Data\LFW_Demo\Taha_Yassin_Ramadan_0011.jpg,0
2540,demo\Data\LFW_Demo\Guillermo_Coria_0005.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0012.jpg,1
3774,demo\Data\LFW_Demo\Yao_Ming_0003.jpg,demo\Data\LFW_Demo\Yao_Ming_0002.jpg,1
3080,demo\Data\LFW_Demo\Barry_Hinson_0001.jpg,demo\Data\LFW_Demo\Chris_Gratton_0001.jpg,0
1128,demo\Data\LFW_Demo\Picabo_Street_0001.jpg,demo\Data\LFW_Demo\Kate_Burton_0001.jpg,0
5946,demo\Data\LFW_Demo\Fabrice_Santoro_0001.jpg,demo\Data\LFW_Demo\Anthony_Pisciotti_0001.jpg,0
4169,demo\Data\LFW_Demo\Fred_Durst_0001.jpg,demo\Data\LFW_Demo\Colin_Powell_0058.jpg,0
1557,demo\Data\LFW_Demo\Vladimir_Putin_0031.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0023.jpg,1
2641,demo\Data\LFW_Demo\Guillermo_Canas_0004.jpg,demo\Data\LFW_Demo\Tony_Blair_0057.jpg,0
57,demo\Data\LFW_Demo\Guillermo_Coria_0010.jpg,demo\Data\LFW_Demo\Franz_Fischler_0003.jpg,0
1322,demo\Data\LFW_Demo\Saddam_Hussein_0001.jpg,demo\Data\LFW_Demo\Binyamin_Ben-Eliezer_0006.jpg,0
3817,demo\Data\LFW_Demo\Laura_Gobai_0001.jpg,demo\Data\LFW_Demo\Ed_Rosenthal_0002.jpg,0
4348,demo\Data\LFW_Demo\Andre_Agassi_0006.jpg,demo\Data\LFW_Demo\Andre_Agassi_0007.jpg,1
6535,demo\Data\LFW_Demo\Vladimir_Putin_0028.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0025.jpg,1
5438,demo\Data\LFW_Demo\Vladimir_Putin_0045.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0041.jpg,1
292,demo\Data\LFW_Demo\Iain_Duncan_Smith_0004.jpg,demo\Data\LFW_Demo\Selma_Phoenix_0001.jpg,0
1142,demo\Data\LFW_Demo\Paul_Kariya_0001.jpg,demo\Data\LFW_Demo\Ronaldo_Luis_Nazario_de_Lima_0003.jpg,0
6569,demo\Data\LFW_Demo\Ann_Veneman_0007.jpg,demo\Data\LFW_Demo\Ann_Veneman_0003.jpg,1
2986,demo\Data\LFW_Demo\Nadia_Petrova_0003.jpg,demo\Data\LFW_Demo\Shane_Hmiel_0001.jpg,0
1170,demo\Data\LFW_Demo\Guillermo_Coria_0005.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0018.jpg,1
6240,demo\Data\LFW_Demo\Zach_Parise_0001.jpg,demo\Data\LFW_Demo\Jennifer_Aniston_0011.jpg,0
3833,demo\Data\LFW_Demo\Eduardo_Romero_0001.jpg,demo\Data\LFW_Demo\Hamid_Karzai_0003.jpg,0
2910,demo\Data\LFW_Demo\Vladimir_Putin_0008.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0022.jpg,1
1755,demo\Data\LFW_Demo\Nadia_Petrova_0001.jpg,demo\Data\LFW_Demo\Nadia_Petrova_0004.jpg,1
4706,demo\Data\LFW_Demo\Vladimir_Putin_0035.jpg,demo\Data\LFW_Demo\Isidro_Pastor_0001.jpg,0
1086,demo\Data\LFW_Demo\Guillermo_Coria_0023.jpg,demo\Data\LFW_Demo\Jacques_Chirac_0016.jpg,0
3559,demo\Data\LFW_Demo\Mel_Brooks_0002.jpg,demo\Data\LFW_Demo\Joseph_Fiennes_0001.jpg,0
1172,demo\Data\LFW_Demo\Yuri_Malenchenko_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0277.jpg,0
4308,demo\Data\LFW_Demo\Andre_Agassi_0034.jpg,demo\Data\LFW_Demo\Andre_Agassi_0002.jpg,1
5281,demo\Data\LFW_Demo\Marianne_Stanley_0001.jpg,demo\Data\LFW_Demo\Gerhard_Schroeder_0109.jpg,0
1562,demo\Data\LFW_Demo\Georgia_Giddings_0001.jpg,demo\Data\LFW_Demo\Martin_Hoellwarth_0001.jpg,0
4955,demo\Data\LFW_Demo\Guillermo_Coria_0002.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0023.jpg,1
4664,demo\Data\LFW_Demo\Andre_Agassi_0003.jpg,demo\Data\LFW_Demo\Andre_Agassi_0030.jpg,1
4148,demo\Data\LFW_Demo\Vladimir_Putin_0043.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0046.jpg,1
5013,demo\Data\LFW_Demo\Linda_Baboolal_0001.jpg,demo\Data\LFW_Demo\Alanis_Morissette_0001.jpg,0
2029,demo\Data\LFW_Demo\Amelie_Mauresmo_0019.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0016.jpg,1
2002,demo\Data\LFW_Demo\Vladimir_Putin_0021.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0033.jpg,1
3937,demo\Data\LFW_Demo\Jonathan_Edwards_0007.jpg,demo\Data\LFW_Demo\Ariel_Sharon_0014.jpg,0
613,demo\Data\LFW_Demo\Samira_Makhmalbaf_0001.jpg,demo\Data\LFW_Demo\Salma_Hayek_0010.jpg,0
2155,demo\Data\LFW_Demo\Vladimir_Putin_0023.jpg,demo\Data\LFW_Demo\Christiane_Wulff_0001.jpg,0
4314,demo\Data\LFW_Demo\Amelie_Mauresmo_0005.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0001.jpg,1
3768,demo\Data\LFW_Demo\King_Abdullah_II_0004.jpg,demo\Data\LFW_Demo\David_Chase_0001.jpg,0
1430,demo\Data\LFW_Demo\Vladimir_Putin_0018.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0023.jpg,1
4979,demo\Data\LFW_Demo\Guillermo_Coria_0010.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0014.jpg,1
5920,demo\Data\LFW_Demo\Barrett_Jackman_0002.jpg,demo\Data\LFW_Demo\David_Siegel_0001.jpg,0
505,demo\Data\LFW_Demo\Juan_Valencia_Osorio_0001.jpg,demo\Data\LFW_Demo\Muhammad_Ali_0007.jpg,0
415,demo\Data\LFW_Demo\Francisco_Garcia_0001.jpg,demo\Data\LFW_Demo\Tang_Jiaxuan_0001.jpg,0
272,demo\Data\LFW_Demo\Hamzah_Haz_0001.jpg,demo\Data\LFW_Demo\Denzel_Washington_0003.jpg,0
4503,demo\Data\LFW_Demo\Mike_Myers_0005.jpg,demo\Data\LFW_Demo\Richard_Langille_0001.jpg,0
3580,demo\Data\LFW_Demo\Guillermo_Coria_0027.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0021.jpg,1
3107,demo\Data\LFW_Demo\Yasser_Arafat_0001.jpg,demo\Data\LFW_Demo\Mike_Bair_0001.jpg,0
6058,demo\Data\LFW_Demo\Saddam_Hussein_0003.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0019.jpg,1
5487,demo\Data\LFW_Demo\Richard_Paul_Evans_0001.jpg,demo\Data\LFW_Demo\Carlo_Ancelotti_0003.jpg,0
5370,demo\Data\LFW_Demo\Vladimir_Putin_0043.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0033.jpg,1
106,demo\Data\LFW_Demo\Guillermo_Coria_0027.jpg,demo\Data\LFW_Demo\Queen_Elizabeth_II_0003.jpg,0
1344,demo\Data\LFW_Demo\Saddam_Hussein_0005.jpg,demo\Data\LFW_Demo\Saddam_Hussein_0003.jpg,1
3492,demo\Data\LFW_Demo\Ann_Veneman_0007.jpg,demo\Data\LFW_Demo\Ann_Veneman_0008.jpg,1
1702,demo\Data\LFW_Demo\Bob_Graham_0002.jpg,demo\Data\LFW_Demo\Danny_Green_0001.jpg,0
6062,demo\Data\LFW_Demo\Ramon_Cardenas_0001.jpg,demo\Data\LFW_Demo\Kathy_Winters_0002.jpg,0
4774,demo\Data\LFW_Demo\Vladimir_Putin_0034.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0032.jpg,1
952,demo\Data\LFW_Demo\Vladimir_Putin_0046.jpg,demo\Data\LFW_Demo\Bud_Selig_0001.jpg,0
1630,demo\Data\LFW_Demo\Thomas_Fargo_0001.jpg,demo\Data\LFW_Demo\Andre_Agassi_0009.jpg,0
2233,demo\Data\LFW_Demo\Andre_Agassi_0009.jpg,demo\Data\LFW_Demo\George_W_Bush_0161.jpg,0
4215,demo\Data\LFW_Demo\Jerry_Falwell_0001.jpg,demo\Data\LFW_Demo\Spencer_Abraham_0016.jpg,0
1504,demo\Data\LFW_Demo\Vladimir_Putin_0049.jpg,demo\Data\LFW_Demo\Jack_Straw_0028.jpg,0
2417,demo\Data\LFW_Demo\Vladimir_Putin_0011.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0023.jpg,1
4704,demo\Data\LFW_Demo\Vladimir_Putin_0042.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0016.jpg,1
1754,demo\Data\LFW_Demo\Sourav_Ganguly_0003.jpg,demo\Data\LFW_Demo\Mikhail_Wehbe_0003.jpg,0
5077,demo\Data\LFW_Demo\Amelie_Mauresmo_0014.jpg,demo\Data\LFW_Demo\Amelie_Mauresmo_0004.jpg,1
5729,demo\Data\LFW_Demo\Vladimir_Putin_0037.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0038.jpg,1
1024,demo\Data\LFW_Demo\Vladimir_Putin_0037.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0007.jpg,1
4564,demo\Data\LFW_Demo\Gordon_Brown_0004.jpg,demo\Data\LFW_Demo\Gordon_Brown_0012.jpg,1
3213,demo\Data\LFW_Demo\Torri_Edwards_0002.jpg,demo\Data\LFW_Demo\Charles_Moose_0009.jpg,0
1872,demo\Data\LFW_Demo\Patricia_Garone_0001.jpg,demo\Data\LFW_Demo\George_W_Bush_0020.jpg,0
416,demo\Data\LFW_Demo\Mario_Austin_0001.jpg,demo\Data\LFW_Demo\Zoran_Djindjic_0002.jpg,0
1805,demo\Data\LFW_Demo\Guillermo_Coria_0022.jpg,demo\Data\LFW_Demo\Guillermo_Coria_0028.jpg,1
3458,demo\Data\LFW_Demo\Andre_Agassi_0019.jpg,demo\Data\LFW_Demo\Andre_Agassi_0005.jpg,1
4383,demo\Data\LFW_Demo\Vladimir_Putin_0021.jpg,demo\Data\LFW_Demo\Vladimir_Putin_0027.jpg,1
